player,nationality,position,team,age,games,games_starts,minutes,goals,assists,pens_made,xg,xg_assist
Patrick van Aanholt,nl NED,"MF,DF",nl PSV Eindhoven,32,2,1,99,0,0,0,0.2,0.0
Brenden Aaronson,us USA,MF,de Union Berlin,22,6,1,137,0,0,0,0.5,0.0
Salis Abdul Samed,gh GHA,MF,fr Lens,23,6,6,495,0,0,0,0.2,0.3
Francesco Acerbi,it ITA,DF,it Inter,35,6,4,423,0,1,0,0.2,0.3
Elias Achouri,tn TUN,"FW,MF",dk FC Copenhagen,24,8,7,552,0,1,0,0.3,0.9
Marcos Acuña,ar ARG,DF,es Sevilla,31,3,2,198,0,1,0,0.1,0.5
Karim Adeyemi,de GER,FW,de Dortmund,21,12,8,707,2,1,0,1.8,1.4
Yacine Adli,fr FRA,MF,it Milan,23,3,1,123,0,0,0,0.1,0.1
Ruben Aguilar,fr FRA,DF,fr Lens,30,2,1,100,0,0,0,0.0,0.0
Manuel Akanji,ch SUI,"DF,MF",eng Manchester City,28,8,7,665,2,0,0,1.0,0.6
Nathan Aké,nl NED,"DF,MF",eng Manchester City,28,7,3,384,0,0,0,0.9,0.4
Kerem Aktürkoğlu,tr TUR,"MF,FW",tr Galatasaray,24,6,5,440,2,0,0,2.1,0.9
David Alaba,at AUT,DF,es Real Madrid,31,3,3,250,0,1,0,0.4,0.4
Luis Alberto,es ESP,MF,it Lazio,30,8,8,642,0,1,0,0.9,2.2
Toby Alderweireld,be BEL,DF,be Antwerp,34,5,5,450,0,0,0,1.5,0.1
Mohamed Ali Cho,fr FRA,"FW,MF",es Real Sociedad,19,4,1,131,0,0,0,0.0,0.0
Miguel Almirón,py PAR,FW,eng Newcastle Utd,29,6,4,413,1,1,0,1.4,0.6
Marcos Alonso,es ESP,"DF,FW",es Barcelona,32,3,2,139,0,0,0,0.0,0.0
Barış Alper Yılmaz,tr TUR,"FW,MF",tr Galatasaray,23,6,0,127,0,1,0,0.1,0.5
Julián Álvarez,ar ARG,"MF,FW",eng Manchester City,23,7,2,282,5,2,0,1.7,1.3
Mohamed Aly Camara,gn GUI,DF,ch Young Boys,25,5,5,450,0,1,0,0.0,0.0
Aurele Amenda,ch SUI,DF,ch Young Boys,20,4,3,314,0,0,0,0.1,0.0
Sofyan Amrabat,ma MAR,"MF,DF",eng Manchester Utd,26,5,4,325,0,0,0,0.1,0.1
Elliot Anderson,eng ENG,MF,eng Newcastle Utd,20,2,0,45,0,0,0,0.0,0.1
Felipe Anderson,br BRA,FW,it Lazio,30,8,7,542,0,1,0,0.6,1.3
Angeliño,es ESP,DF,tr Galatasaray,26,6,5,424,0,0,0,0.0,0.1
Peter Ankersen,dk DEN,DF,dk FC Copenhagen,32,7,5,465,0,0,0,0.2,0.3
Antony,br BRA,FW,eng Manchester Utd,23,4,3,232,0,0,0,0.0,0.1
Jon Aramburu,ve VEN,DF,es Real Sociedad,21,1,0,3,0,0,0,0.0,0.0
Ronald Araújo,uy URU,DF,es Barcelona,24,8,8,658,0,0,0,0.9,0.3
Tomás Araújo,pt POR,DF,pt Benfica,21,3,1,161,0,0,0,0.0,0.0
Marko Arnautović,at AUT,FW,it Inter,34,4,2,192,2,0,0,2.9,0.0
Kepa Arrizabalaga,es ESP,GK,es Real Madrid,28,4,4,360,0,0,0,0.0,0.0
Marco Asensio,es ESP,"FW,MF",fr Paris S-G,27,6,1,124,0,0,0,0.4,0.2
Kristjan Asllani,al ALB,MF,it Inter,21,6,2,205,0,0,0,0.1,0.2
Otavio Ataide,br BRA,DF,pt Porto,21,2,2,210,0,1,0,0.0,0.0
Emil Audero,id IDN,GK,it Inter,26,1,1,90,0,0,0,0.0,0.0
Carlos Augusto,br BRA,"DF,FW",it Inter,24,7,5,475,0,0,0,0.4,0.1
Yann Aurel Bisseck,de GER,DF,it Inter,22,3,2,172,0,0,0,0.0,0.1
Fredrik Aursnes,no NOR,"DF,MF",pt Benfica,27,6,6,540,0,1,0,0.1,0.8
Kaan Ayhan,tr TUR,"MF,DF",tr Galatasaray,28,5,5,380,0,0,0,0.4,0.2
Neil El Aynaoui,fr FRA,MF,fr Lens,22,3,0,138,0,0,0,0.0,0.1
Irakli Azarov,ge GEO,DF,ua Shakhtar,21,4,3,296,0,1,0,0.1,0.9
César Azpilicueta,es ESP,DF,es Atlético Madrid,33,6,3,290,0,0,0,0.0,0.0
Isaac Babadi,nl NED,"FW,MF",nl PSV Eindhoven,18,2,0,22,0,0,0,0.0,0.0
Loïc Bade,fr FRA,DF,es Sevilla,23,2,1,95,0,0,0,0.0,0.0
Alexander Bah,dk DEN,DF,pt Benfica,25,3,3,191,0,0,0,0.0,0.1
Samson Baidoo,at AUT,DF,at RB Salzburg,19,5,3,303,0,0,0,0.2,0.0
Cédric Bakambu,cd COD,FW,tr Galatasaray,32,2,0,38,1,0,0,0.5,0.0
Johan Bakayoko,be BEL,FW,nl PSV Eindhoven,20,8,8,649,1,1,0,1.2,1.8
Alejandro Balde,es ESP,DF,es Barcelona,19,6,3,331,0,0,0,0.1,0.2
Michel-Ange Balikwisha,be BEL,"FW,MF",be Antwerp,22,5,5,384,1,0,0,0.7,0.6
David von Ballmoos,ch SUI,GK,ch Young Boys,28,1,1,90,0,0,0,0.0,0.0
Simon Banza,cd COD,FW,pt Braga,26,6,4,341,0,1,0,1.1,0.2
Bradley Barcola,fr FRA,"FW,DF",fr Paris S-G,20,10,5,475,1,1,0,2.3,0.7
Abdülkerim Bardakcı,tr TUR,DF,tr Galatasaray,28,6,6,540,0,0,0,0.5,0.0
Roony Bardghji,se SWE,"MF,FW",dk FC Copenhagen,17,4,1,146,1,0,0,0.5,0.3
Nicolò Barella,it ITA,MF,it Inter,26,8,4,468,0,1,0,0.9,1.8
Harvey Barnes,eng ENG,FW,eng Newcastle Utd,25,1,0,1,0,0,0,0.0,0.0
Romário Baró,pt POR,MF,pt Porto,23,1,1,63,0,0,0,0.0,0.1
Ander Barrenetxea,es ESP,"FW,MF",es Real Sociedad,21,7,5,397,1,1,0,0.5,1.2
Pablo Barrios,es ESP,MF,es Atlético Madrid,20,7,2,262,1,1,0,0.3,0.3
Davide Bartesaghi,it ITA,FW,it Milan,17,1,0,3,0,0,0,0.0,0.0
Alessandro Bastoni,it ITA,DF,it Inter,24,7,6,500,0,0,0,0.3,0.4
Jelle Bataille,be BEL,DF,be Antwerp,24,6,4,410,0,1,0,0.0,1.0
Christoph Baumgartner,at AUT,MF,de RB Leipzig,23,6,0,118,0,0,0,0.8,0.1
Sheraldo Becker,sr SUR,FW,de Union Berlin,28,5,4,365,2,0,0,1.3,0.8
Sheraldo Becker,sr SUR,FW,es Real Sociedad,28,1,1,60,0,0,0,0.0,0.0
Thomas Beelen,nl NED,DF,nl Feyenoord,22,1,1,78,0,0,0,0.0,0.0
Kevin Behrens,de GER,FW,de Union Berlin,32,5,4,299,0,0,0,0.9,0.0
Armel Bella Kotchap,de GER,DF,nl PSV Eindhoven,21,2,1,84,0,0,0,0.0,0.0
Jude Bellingham,eng ENG,"MF,FW",es Real Madrid,20,11,11,989,4,5,0,3.0,2.6
Walter Benítez,ar ARG,GK,nl PSV Eindhoven,30,8,8,720,0,0,0,0.0,0.1
Loris Benito,ch SUI,DF,ch Young Boys,31,5,5,406,0,0,0,0.3,0.0
Ramy Bensebaini,dz ALG,DF,de Dortmund,28,5,4,375,0,0,0,0.1,0.1
Lucas Beraldo,br BRA,DF,fr Paris S-G,19,5,4,409,0,0,0,0.0,0.0
Paulo Bernardo,pt POR,MF,sct Celtic,21,6,2,312,0,0,0,0.0,0.1
Juan Bernat,es ESP,DF,pt Benfica,30,2,1,111,0,0,0,0.1,0.0
Mads Bidstrup,dk DEN,MF,at RB Salzburg,22,6,6,494,0,0,0,0.0,0.0
Justin Bijlow,nl NED,GK,nl Feyenoord,25,4,4,360,0,0,0,0.0,0.0
